quantity tons,country,status,application,thickness,width,material_ref,selling_price,purchased_month,purchased_year,delivered_month,delivered_year,item_type_PL,item_type_S,item_type_W
5.64,28,1,1.71,0.69,992.83,4329,15.26,4.0,2021.0,7.0,2021.0,0,0,1
4.71,27,1,1.71,0.38,685.97,4243,15.83,4.0,2021.0,7.0,2021.0,0,1,0
6.28,30,1,2.25,0.38,846.64,7471,16.63,4.0,2021.0,4.0,2021.0,0,0,1
4.0,30,1,1.71,0.31,615.86,2143,17.2,4.0,2021.0,7.0,2021.0,0,0,1
6.18,30,1,2.25,0.38,846.64,5577,16.63,4.0,2021.0,4.0,2021.0,0,0,1
6.39,30,1,2.25,0.38,846.64,3225,16.6,4.0,2021.0,4.0,2021.0,0,0,1
6.91,78,1,2.12,0.52,763.14,629,15.35,4.0,2021.0,4.0,2021.0,0,1,0
6.29,30,1,2.25,0.38,810.3,8506,16.63,4.0,2021.0,4.0,2021.0,0,0,1
5.29,78,1,2.12,0.52,657.99,633,15.35,4.0,2021.0,4.0,2021.0,0,1,0
5.59,77,1,1.28,0.45,868.52,4500,16.27,4.0,2021.0,6.0,2021.0,0,1,0
5.73,77,1,1.28,0.54,868.52,4500,16.16,4.0,2021.0,6.0,2021.0,0,1,0
5.48,25,1,1.71,0.43,810.93,1878,17.28,4.0,2021.0,7.0,2021.0,0,0,1
4.39,77,1,1.28,0.45,868.52,4500,16.23,4.0,2021.0,6.0,2021.0,0,1,0
7.47,78,1,2.36,0.66,615.86,4293,15.25,4.0,2021.0,5.0,2021.0,0,1,0
7.37,78,1,2.12,0.57,827.23,828,15.2,4.0,2021.0,4.0,2021.0,0,1,0
4.64,78,1,2.36,0.78,551.64,8076,15.22,4.0,2021.0,5.0,2021.0,0,1,0
5.92,28,1,2.23,0.36,682.79,1157,17.41,4.0,2021.0,8.0,2021.0,0,0,1
4.99,78,1,2.36,0.78,615.86,8076,15.19,4.0,2021.0,5.0,2021.0,0,1,0
7.3,78,1,2.12,0.31,780.77,271,15.46,4.0,2021.0,4.0,2021.0,0,1,0
6.8,78,1,2.36,0.83,615.86,4293,15.12,4.0,2021.0,5.0,2021.0,0,1,0
7.41,78,1,2.12,0.57,764.4,825,15.22,4.0,2021.0,4.0,2021.0,0,1,0
6.64,78,1,2.36,0.69,615.86,4293,15.18,4.0,2021.0,5.0,2021.0,0,1,0
7.61,78,1,2.12,0.31,615.86,280,15.5,4.0,2021.0,4.0,2021.0,0,1,0
5.79,28,1,1.71,0.38,625.45,4908,15.62,4.0,2021.0,7.0,2021.0,0,1,0
4.43,32,1,2.36,0.58,923.98,5660,15.69,4.0,2021.0,7.0,2021.0,0,1,0
5.67,28,1,1.71,0.45,837.26,4159,15.83,4.0,2021.0,8.0,2021.0,0,0,1
4.39,77,1,2.26,0.6,837.26,569,16.3,4.0,2021.0,9.0,2021.0,0,1,0
4.67,77,1,2.26,0.73,748.63,1251,16.19,4.0,2021.0,9.0,2021.0,0,1,0
5.73,77,1,2.26,0.38,824.73,74,16.35,4.0,2021.0,9.0,2021.0,0,1,0
4.2,25,1,1.89,0.83,992.83,8102,15.57,4.0,2021.0,3.0,2021.0,0,1,0
5.52,77,1,2.26,0.38,837.26,39,16.37,4.0,2021.0,9.0,2021.0,0,1,0
5.71,28,1,1.71,0.42,992.83,4237,16.14,4.0,2021.0,8.0,2021.0,0,0,1
4.49,77,1,2.26,0.65,837.26,576,16.24,4.0,2021.0,9.0,2021.0,0,1,0
4.69,27,1,2.36,0.38,679.62,6649,15.9,4.0,2021.0,8.0,2021.0,0,1,0
4.43,27,1,2.36,0.38,837.26,6650,15.83,4.0,2021.0,8.0,2021.0,0,1,0
4.25,77,1,2.26,0.57,837.26,561,16.26,4.0,2021.0,9.0,2021.0,0,1,0
3.95,27,1,2.36,0.38,992.83,6651,15.81,4.0,2021.0,8.0,2021.0,0,1,0
4.69,77,1,2.26,0.73,748.63,1250,16.28,4.0,2021.0,9.0,2021.0,0,1,0
4.39,77,1,2.26,0.73,843.52,1254,16.4,4.0,2021.0,9.0,2021.0,0,1,0
4.5,77,1,2.26,0.69,654.17,1246,16.27,4.0,2021.0,9.0,2021.0,0,1,0
4.84,77,1,2.35,0.42,1116.05,8888,16.74,4.0,2021.0,7.0,2021.0,0,1,0
5.09,77,1,2.35,0.48,1116.05,8889,16.59,4.0,2021.0,7.0,2021.0,0,1,0
4.24,77,1,2.26,0.73,685.97,1255,16.3,4.0,2021.0,9.0,2021.0,0,1,0
4.98,77,1,2.35,0.54,1116.05,8890,16.55,4.0,2021.0,7.0,2021.0,0,1,0
4.27,77,1,2.26,0.68,837.26,583,16.4,4.0,2021.0,9.0,2021.0,0,1,0
4.59,77,1,2.26,0.68,837.26,581,16.27,4.0,2021.0,9.0,2021.0,0,1,0
5.07,77,0,1.71,0.51,992.83,5180,16.87,4.0,2021.0,8.0,2021.0,0,1,0
4.98,77,0,1.71,0.45,837.26,5180,16.96,4.0,2021.0,8.0,2021.0,0,1,0
6.96,30,1,2.25,0.24,720.2,6332,16.63,4.0,2021.0,9.0,2021.0,0,1,0
5.76,78,1,1.71,0.34,679.62,2626,16.71,4.0,2021.0,7.0,2021.0,0,1,0
1.36,25,1,2.1,0.69,815.95,6023,16.16,4.0,2021.0,7.0,2021.0,0,0,1
1.84,25,1,2.1,0.69,879.76,6023,16.17,4.0,2021.0,7.0,2021.0,0,0,1
0.97,25,1,2.1,0.74,771.96,6024,16.11,4.0,2021.0,7.0,2021.0,0,0,1
2.54,25,1,2.1,0.74,999.01,6024,16.09,4.0,2021.0,7.0,2021.0,0,0,1
1.4,25,1,2.1,0.74,1008.91,6024,16.1,4.0,2021.0,7.0,2021.0,0,0,1
2.17,25,1,2.1,0.81,788.32,6026,16.05,4.0,2021.0,7.0,2021.0,0,0,1
2.76,25,1,2.1,0.81,789.57,6025,16.07,4.0,2021.0,7.0,2021.0,0,0,1
2.12,25,1,2.1,0.78,756.83,6030,16.14,4.0,2021.0,7.0,2021.0,0,0,1
0.57,25,1,2.1,0.66,856.03,6020,16.07,4.0,2021.0,7.0,2021.0,0,0,1
0.88,25,1,2.1,0.66,872.27,6020,16.07,4.0,2021.0,7.0,2021.0,0,0,1
2.56,25,1,2.1,0.74,734.11,6029,16.11,4.0,2021.0,7.0,2021.0,0,0,1
2.67,25,1,2.1,0.74,789.57,6029,16.11,4.0,2021.0,7.0,2021.0,0,0,1
0.94,25,1,2.1,0.66,685.97,6028,16.22,4.0,2021.0,7.0,2021.0,0,0,1
0.73,25,1,2.1,0.83,771.96,6027,16.06,4.0,2021.0,7.0,2021.0,0,0,1
6.95,28,1,1.71,0.38,837.26,7631,16.97,4.0,2021.0,8.0,2021.0,0,0,1
6.1,32,1,2.26,0.37,912.16,2106,17.37,4.0,2021.0,7.0,2021.0,0,0,1
5.95,32,1,2.26,0.37,769.44,2107,17.36,4.0,2021.0,7.0,2021.0,0,0,1
6.03,32,1,2.26,0.37,824.73,2107,17.38,4.0,2021.0,7.0,2021.0,0,0,1
7.1,32,0,2.0,0.51,687.87,2275,17.38,4.0,2021.0,7.0,2021.0,0,0,1
7.02,32,0,2.0,0.63,615.86,2275,17.29,4.0,2021.0,7.0,2021.0,0,0,1
7.02,32,0,2.0,0.45,992.83,2275,17.42,4.0,2021.0,7.0,2021.0,0,0,1
3.63,32,1,2.4,0.78,899.71,140,16.33,4.0,2021.0,7.0,2021.0,0,0,1
3.33,32,1,2.4,0.83,837.26,7402,15.82,4.0,2021.0,7.0,2021.0,0,0,1
2.61,32,1,2.4,0.78,868.52,151,16.37,4.0,2021.0,7.0,2021.0,0,0,1
2.68,32,1,2.4,0.69,837.26,141,16.39,4.0,2021.0,7.0,2021.0,0,0,1
2.98,32,1,2.4,0.78,837.26,143,16.37,4.0,2021.0,7.0,2021.0,0,0,1
2.68,32,1,2.4,0.74,837.26,142,16.35,4.0,2021.0,7.0,2021.0,0,0,1
3.37,32,1,2.4,0.81,837.26,144,16.34,4.0,2021.0,7.0,2021.0,0,0,1
3.32,32,1,2.4,0.81,837.26,144,16.35,4.0,2021.0,7.0,2021.0,0,0,1
3.43,32,1,2.4,0.74,868.52,150,16.44,4.0,2021.0,7.0,2021.0,0,0,1
3.69,32,1,2.4,0.83,992.83,146,16.35,4.0,2021.0,7.0,2021.0,0,0,1
2.75,32,1,2.4,0.83,992.83,146,16.34,4.0,2021.0,7.0,2021.0,0,0,1
3.31,32,1,2.4,0.83,837.26,145,16.35,4.0,2021.0,7.0,2021.0,0,0,1
2.63,32,1,2.4,0.87,992.83,147,16.3,4.0,2021.0,7.0,2021.0,0,0,1
3.04,32,1,2.4,0.9,992.83,148,16.3,4.0,2021.0,7.0,2021.0,0,0,1
3.65,32,1,2.4,0.91,992.83,149,16.32,4.0,2021.0,7.0,2021.0,0,0,1
1.8,78,1,1.71,0.75,812.18,8631,15.89,4.0,2021.0,7.0,2021.0,0,0,1
1.78,78,1,1.71,0.78,843.52,9204,15.93,4.0,2021.0,7.0,2021.0,0,0,1
2.21,78,1,1.71,0.69,837.26,7483,15.76,4.0,2021.0,7.0,2021.0,0,0,1
1.61,78,1,1.71,0.69,679.62,7483,15.76,4.0,2021.0,7.0,2021.0,0,0,1
2.0,78,1,1.71,0.69,837.26,7489,15.82,4.0,2021.0,7.0,2021.0,0,0,1
2.82,78,1,1.71,0.69,679.62,7489,15.79,4.0,2021.0,7.0,2021.0,0,0,1
3.07,78,1,1.71,0.78,679.62,4260,15.75,4.0,2021.0,7.0,2021.0,0,0,1
2.18,78,1,1.71,0.78,852.9,4260,15.74,4.0,2021.0,7.0,2021.0,0,0,1
1.77,78,1,1.71,0.78,755.57,4260,15.75,4.0,2021.0,7.0,2021.0,0,0,1
2.32,78,1,1.71,0.74,992.83,4260,15.77,4.0,2021.0,7.0,2021.0,0,0,1
3.05,78,1,1.71,0.74,679.62,4260,15.77,4.0,2021.0,7.0,2021.0,0,0,1
2.78,78,1,1.71,0.69,838.51,7483,15.75,4.0,2021.0,7.0,2021.0,0,0,1
3.13,78,1,1.71,0.74,765.03,7489,15.78,4.0,2021.0,7.0,2021.0,0,0,1
2.41,32,1,1.71,0.69,837.26,4704,16.28,4.0,2021.0,9.0,2021.0,0,0,1
2.55,32,1,1.71,0.78,837.26,4704,16.29,4.0,2021.0,9.0,2021.0,0,0,1
0.65,32,1,1.71,0.51,868.52,4704,16.36,4.0,2021.0,9.0,2021.0,0,0,1
2.21,32,1,1.71,0.78,679.62,4704,16.3,4.0,2021.0,9.0,2021.0,0,0,1
6.63,32,1,1.71,0.62,992.83,4704,16.33,4.0,2021.0,9.0,2021.0,0,0,1
2.05,78,1,2.25,0.69,837.26,8361,15.53,4.0,2021.0,6.0,2021.0,0,0,1
6.94,78,1,1.71,0.62,837.26,7976,16.42,4.0,2021.0,7.0,2021.0,0,1,0
4.45,32,1,2.26,0.48,708.17,1093,16.21,3.0,2021.0,7.0,2021.0,0,0,0
4.08,32,1,2.26,0.62,744.21,1405,15.94,3.0,2021.0,7.0,2021.0,0,0,0
7.85,27,1,1.71,0.62,992.83,3227,15.33,3.0,2021.0,5.0,2021.0,1,0,0
7.88,27,1,1.71,0.54,830.99,3230,15.71,3.0,2021.0,5.0,2021.0,1,0,0
1.85,27,1,1.71,0.34,837.26,3247,15.69,3.0,2021.0,5.0,2021.0,1,0,0
2.54,27,1,1.71,0.62,992.83,3227,15.41,3.0,2021.0,6.0,2021.0,1,0,0
2.39,27,1,1.71,0.45,914.03,3249,16.2,3.0,2021.0,5.0,2021.0,1,0,0
5.73,27,1,1.71,0.51,837.26,3248,15.65,3.0,2021.0,5.0,2021.0,1,0,0
4.37,27,1,1.71,0.55,857.9,3244,16.13,3.0,2021.0,5.0,2021.0,1,0,0
4.38,27,1,1.71,0.54,830.99,3230,15.83,3.0,2021.0,6.0,2021.0,1,0,0
2.81,27,1,1.71,0.45,914.03,3249,16.16,3.0,2021.0,5.0,2021.0,1,0,0
7.03,27,1,1.71,0.34,837.26,3247,15.75,3.0,2021.0,6.0,2021.0,1,0,0
6.06,27,1,1.71,0.62,758.72,3347,15.36,3.0,2021.0,5.0,2021.0,1,0,0
2.07,27,1,1.71,0.55,857.9,3244,16.15,3.0,2021.0,5.0,2021.0,1,0,0
6.11,27,1,1.71,0.74,992.83,3348,15.24,3.0,2021.0,5.0,2021.0,1,0,0
2.19,27,1,1.71,0.78,992.83,3349,15.54,3.0,2021.0,5.0,2021.0,1,0,0
1.46,27,1,1.71,0.45,914.03,3249,16.2,3.0,2021.0,6.0,2021.0,1,0,0
2.15,27,1,1.71,0.55,857.9,3244,16.17,3.0,2021.0,6.0,2021.0,1,0,0
3.85,27,1,2.36,0.56,679.62,5784,16.01,3.0,2021.0,7.0,2021.0,0,0,1
6.82,27,1,2.36,0.61,699.93,5921,15.82,3.0,2021.0,7.0,2021.0,0,0,1
7.59,27,1,2.36,0.61,735.37,5929,15.87,3.0,2021.0,7.0,2021.0,0,0,1
7.02,78,1,2.12,0.57,819.71,7688,15.15,3.0,2021.0,4.0,2021.0,0,1,0
6.29,27,1,2.36,0.68,843.52,5930,15.8,3.0,2021.0,7.0,2021.0,0,0,1
4.8,27,1,2.36,0.76,653.53,5746,15.51,3.0,2021.0,7.0,2021.0,0,0,1
6.5,27,1,2.36,0.62,723.99,5945,15.62,3.0,2021.0,7.0,2021.0,0,0,1
7.0,78,1,2.12,0.53,629.93,7405,15.27,3.0,2021.0,4.0,2021.0,0,1,0
5.45,27,1,2.36,0.62,856.03,5765,15.99,3.0,2021.0,7.0,2021.0,0,0,1
6.07,27,1,2.36,0.76,877.89,6031,15.9,3.0,2021.0,7.0,2021.0,0,0,1
6.09,27,1,2.36,0.8,871.64,6032,15.89,3.0,2021.0,7.0,2021.0,0,0,1
4.61,27,1,2.36,0.69,782.03,5926,15.65,3.0,2021.0,7.0,2021.0,0,0,1
5.79,27,1,2.36,0.7,937.03,5940,15.45,3.0,2021.0,7.0,2021.0,0,0,1
6.91,27,1,2.36,0.84,837.26,6010,15.66,3.0,2021.0,7.0,2021.0,0,0,1
6.83,27,1,2.36,0.86,805.91,5987,15.47,3.0,2021.0,7.0,2021.0,0,0,1
6.05,27,1,2.36,0.78,802.14,5844,15.47,3.0,2021.0,7.0,2021.0,0,0,1
6.45,27,1,2.36,0.87,846.64,5988,15.47,3.0,2021.0,7.0,2021.0,0,0,1
4.91,27,1,2.36,0.82,840.39,5943,15.44,3.0,2021.0,7.0,2021.0,0,0,1
6.42,27,1,2.36,0.86,995.92,5847,15.42,3.0,2021.0,7.0,2021.0,0,0,1
6.77,27,1,2.36,0.63,834.13,5748,15.69,3.0,2021.0,7.0,2021.0,0,0,1
